#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
48,2554853,2,3.513490,5.598080000e-05,133850,1.010110000e-02,7.9430,2.2150000e+00,AFP,,,
49,2554867,1,2.489400,2.833320000e-05,133193,4.688540000e-03,6.5580,1.0750000e+00,UNK,,,
50,2554867,2,0.723891,1.607220000e-05,132122,2.668950000e-03,2.4890,1.1630000e+00,AFP,,,
51,2578072,1,0.968246,1.600490000e-05,132411,7.145490000e-03,6.8480,1.8290000e+01,AFP,,,
52,2578077,1,1.879050,1.572280000e-05,133276,4.153830000e-03,5.6950,8.1280000e-01,AFP,,,
53,2578077,2,1.878450,1.459830000e-05,132800,3.915670000e-03,4.9790,2.5950000e+00,AFP,,,
54,2693092,2,39.841500,1.274170000e-05,141997,2.676010000e-04,7.3280,1.2670000e-02,AFP,,,
55,2693097,1,1.413520,1.512030000e-05,132125,2.897890000e-03,4.8220,2.3840000e+00,NTP,,,
56,2693097,2,4.240470,1.701270000e-05,132840,2.467200000e-03,7.3120,3.4150000e-01,NTP,,,
57,2693097,3,2.827070,1.736550000e-05,132827,3.210420000e-03,8.7680,2.4860000e+00,NTP,,,
58,2714932,1,1.936580,1.873100000e-05,133363,4.878740000e-03,6.3190,4.3900000e+00,AFP,,,
59,2714932,2,1.936520,1.786250000e-05,132486,4.695090000e-03,6.0760,5.4210000e+00,AFP,,,
60,2714947,1,0.968245,9.864480000e-06,132456,3.453800000e-03,5.3620,1.0900000e+01,AFP,,,
61,2714954,1,0.968155,2.897150000e-05,132518,1.422550000e-02,1.2300,4.4310000e-01,AFP,,,
62,2721129,1,550.335000,1.091450000e-02,366943,1.242730000e-02,11.2800,2.1750000e+00,UNK,,,
63,2721129,2,299.740000,8.653740000e-03,305118,2.453280000e-02,6.6140,2.2640000e+00,UNK,,,
64,2721835,1,1.454330,2.609690000e-05,132138,9.082650000e-03,5.7050,8.2520000e+00,UNK,,,
65,2722074,1,1.938590,2.063960000e-05,131790,5.733270000e-03,7.1680,7.3120000e+00,NTP,,,
